City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
312,fortaleza,-3.7227,-38.5247,28.07,65,0,6.17,BR,1728244388
313,bull savanna,17.8868,-77.5902,27.86,71,14,3.44,JM,1728244664
314,caconda,-13.7333,15.0667,21.28,55,94,3.08,AO,1728244665
315,bodo,67.28,14.405,2.1,85,0,4.63,NO,1728244666
316,korla,41.7597,86.1469,16.53,39,100,1.41,CN,1728244667
317,saint-philippe,-21.3585,55.7679,20.37,75,7,2.75,RE,1728244668
318,midvagur,62.0511,-7.1939,6.46,75,100,4.63,FO,1728244669
319,san juanito,28.0,-107.5833,23.37,15,0,4.89,MX,1728244670
320,gadzhiyevo,69.2551,33.3362,1.28,98,95,2.4,RU,1728244672
321,toliara,-23.35,43.6667,21.31,79,18,1.54,MG,1728244673
322,turpan,42.9333,89.1667,20.09,23,100,2.19,CN,1728244674
323,luderitz,-26.6481,15.1594,17.15,78,82,1.93,NA,1728244675
324,vorgashor,67.5833,63.95,-1.55,97,99,6.11,RU,1728244676
325,al kharijah,25.4514,30.5464,25.01,29,0,3.43,EG,1728244677
326,vorkuta,67.5,64.0,-1.34,97,100,6.2,RU,1728244679
327,kemijarvi,66.7131,27.4306,1.31,90,100,2.05,FI,1728244491
328,faya-largeau,17.9257,19.1043,34.63,15,6,5.1,TD,1728244682
329,hawaiian paradise park,19.5933,-154.9731,28.26,70,40,2.06,US,1728244683
330,qamdo,31.1667,97.2333,5.83,80,86,1.17,CN,1728244687
331,banjar,-8.19,114.9675,25.02,90,24,2.55,ID,1728244689
332,oranjemund,-28.55,16.4333,18.64,72,64,3.24,NA,1728244690
333,dolinsk,47.35,142.8,10.24,96,100,4.89,RU,1728244693
334,solok,-0.7918,100.6593,22.4,95,100,0.98,ID,1728244694
335,monts,47.2772,0.6247,17.35,84,75,3.6,FR,1728244695
336,puerto cabezas,14.0351,-83.3888,31.98,74,40,3.09,NI,1728244696
337,port mathurin,-19.6833,63.4167,22.07,88,100,10.84,MU,1728244697
338,verkhovazh'ye,60.7472,42.0465,3.07,82,64,2.3,RU,1728244698
339,dawei,14.0833,98.2,24.15,86,100,1.63,MM,1728244699
340,mana,5.6592,-53.7767,28.54,76,36,5.02,GF,1728244700
341,kalemie,-5.9475,29.1947,23.6,67,8,1.14,CD,1728244702
342,puerto baquerizo moreno,-0.9,-89.6,24.55,88,40,6.17,EC,1728244703
343,corinto,37.9407,22.9573,21.61,69,1,4.28,GR,1728244525
344,ujae,8.9322,165.7642,28.67,74,98,4.26,MH,1728244705
345,keflavik,64.0049,-22.5624,5.24,60,0,1.54,IS,1728244706
346,sola,-13.8833,167.55,26.32,84,100,9.25,VU,1728244707
347,susuman,62.7833,148.1667,-6.0,90,100,3.35,RU,1728244708
348,el bolson,-41.9667,-71.5167,17.99,54,0,2.75,AR,1728244710
349,cannonvale,-20.2833,148.7,21.66,84,1,1.53,AU,1728244711
350,okhotsk,59.3833,143.3,2.2,65,65,4.58,RU,1728244712
351,san andres,12.5847,-81.7006,30.01,74,40,2.06,CO,1728244680
352,piacabucu,-10.4056,-36.4344,24.85,70,6,3.61,BR,1728244714
353,kangding,30.0513,101.9603,9.33,99,100,1.2,CN,1728244715
354,sandnessjoen,66.0217,12.6316,2.06,80,20,1.54,NO,1728244716
355,tasgaon,17.0333,74.6,26.07,67,86,3.37,IN,1728244717
356,macas,-2.3167,-78.1167,30.86,39,20,4.12,EC,1728244720
357,shubarshi,48.5872,57.1869,12.21,32,75,1.49,KZ,1728244721
358,sinop,41.7711,34.8709,19.81,48,100,2.69,TR,1728244722
359,tangshan,39.6333,118.1833,12.36,65,76,1.99,CN,1728244724
360,bangar,16.8936,120.4243,25.4,82,100,1.61,PH,1728244726
361,nouadhibou,20.931,-17.0347,19.99,88,100,6.17,MR,1728244727
362,sakakah,29.9697,40.2064,29.76,21,0,5.94,SA,1728244730
363,namibe,-15.1961,12.1522,19.28,83,6,1.1,AO,1728244732
